antidep,var_id,cgrp,ctype,code,coef,likelir,vif,description,notes,Proper,Revised
SERTRALINE,308,dxo,ICD9,4619,0.04,0.99,1.07,"ACUTE SINUSITIS, UNSPECIFIED",OTHER UPPER RESPIRATORY INFECT,"Acute Sinusitis, Unspecified",Acute Sinusitis
VENLAFAXINE,295,dxo,ICD9,4619,0.03,1.01,1.08,"ACUTE SINUSITIS, UNSPECIFIED",OTHER UPPER RESPIRATORY INFECT,"Acute Sinusitis, Unspecified",Acute Sinusitis
CITALOPRAM,322,dxo,ICD9,4659,-0.02,0.92,1.06,ACUTE UPPER RESPIRATORY INFECTIONS OF UNSPECIFIED SITE,OTHER UPPER RESPIRATORY INFECT,Acute Upper Respiratory Infections Of Unspecified Site,Acute Upper Respiratory Infections
FLUOXETINE,289,dxo,ICD9,4659,-0.04,0.89,1.02,ACUTE UPPER RESPIRATORY INFECTIONS OF UNSPECIFIED SITE,OTHER UPPER RESPIRATORY INFECT,Acute Upper Respiratory Infections Of Unspecified Site,Acute Upper Respiratory Infections
PAROXETINE,306,dxo,ICD9,4659,-0.04,0.9,1.06,ACUTE UPPER RESPIRATORY INFECTIONS OF UNSPECIFIED SITE,OTHER UPPER RESPIRATORY INFECT,Acute Upper Respiratory Infections Of Unspecified Site,Acute Upper Respiratory Infections
CITALOPRAM,207,dxo,ICD9,30924,-0.11,0.49,1.03,ADJUSTMENT DISORDER WITH ANXIETY,ADJUSTMENT DISORDERS,Adjustment Disorder With Anxiety,Adjustment Disorder With Anxiety
DESVENLAFAXINE,184,dxo,ICD9,30924,-0.24,0.46,1.02,ADJUSTMENT DISORDER WITH ANXIETY,ADJUSTMENT DISORDERS,Adjustment Disorder With Anxiety,Adjustment Disorder With Anxiety
DULOXETINE,211,dxo,ICD9,30924,-0.12,0.55,1.02,ADJUSTMENT DISORDER WITH ANXIETY,ADJUSTMENT DISORDERS,Adjustment Disorder With Anxiety,Adjustment Disorder With Anxiety
ESCITALOPRAM,201,dxo,ICD9,30924,-0.12,0.63,1.03,ADJUSTMENT DISORDER WITH ANXIETY,ADJUSTMENT DISORDERS,Adjustment Disorder With Anxiety,Adjustment Disorder With Anxiety
FLUOXETINE,191,dxo,ICD9,30924,-0.09,0.47,1.03,ADJUSTMENT DISORDER WITH ANXIETY,ADJUSTMENT DISORDERS,Adjustment Disorder With Anxiety,Adjustment Disorder With Anxiety
PAROXETINE,197,dxo,ICD9,30924,-0.15,0.48,1.03,ADJUSTMENT DISORDER WITH ANXIETY,ADJUSTMENT DISORDERS,Adjustment Disorder With Anxiety,Adjustment Disorder With Anxiety
SERTRALINE,205,dxo,ICD9,30924,-0.16,0.43,1.03,ADJUSTMENT DISORDER WITH ANXIETY,ADJUSTMENT DISORDERS,Adjustment Disorder With Anxiety,Adjustment Disorder With Anxiety
VENLAFAXINE,198,dxo,ICD9,30924,-0.14,0.49,1.02,ADJUSTMENT DISORDER WITH ANXIETY,ADJUSTMENT DISORDERS,Adjustment Disorder With Anxiety,Adjustment Disorder With Anxiety
Less common antidepressants or combination of antidepressants,224,dxo,ICD9,30924,-0.09,0.6,1.02,ADJUSTMENT DISORDER WITH ANXIETY,ADJUSTMENT DISORDERS,Adjustment Disorder With Anxiety,Adjustment Disorder With Anxiety
CITALOPRAM,206,dxo,ICD9,3090,-0.11,0.6,1.04,ADJUSTMENT DISORDER WITH DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Depressed Mood,Adjustment Disorder With Depressed Mood
ESCITALOPRAM,200,dxo,ICD9,3090,-0.11,0.7,1.03,ADJUSTMENT DISORDER WITH DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Depressed Mood,Adjustment Disorder With Depressed Mood
FLUOXETINE,190,dxo,ICD9,3090,-0.1,0.58,1.04,ADJUSTMENT DISORDER WITH DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Depressed Mood,Adjustment Disorder With Depressed Mood
PAROXETINE,196,dxo,ICD9,3090,-0.09,0.62,1.04,ADJUSTMENT DISORDER WITH DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Depressed Mood,Adjustment Disorder With Depressed Mood
SERTRALINE,204,dxo,ICD9,3090,-0.09,0.57,1.04,ADJUSTMENT DISORDER WITH DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Depressed Mood,Adjustment Disorder With Depressed Mood
Less common antidepressants or combination of antidepressants,223,dxo,ICD9,3090,-0.09,0.69,1.03,ADJUSTMENT DISORDER WITH DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Depressed Mood,Adjustment Disorder With Depressed Mood
BUPROPION,171,dxo,ICD9,30928,-0.16,0.98,1.11,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
CITALOPRAM,208,dxo,ICD9,30928,-0.19,0.43,1.19,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
DESVENLAFAXINE,185,dxo,ICD9,30928,-0.18,0.47,1.15,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
DOXEPIN,207,dxo,ICD9,30928,-0.28,0.5,1.12,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
DULOXETINE,212,dxo,ICD9,30928,-0.13,0.54,1.13,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
ESCITALOPRAM,202,dxo,ICD9,30928,-0.18,0.58,1.18,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
FLUOXETINE,192,dxo,ICD9,30928,-0.18,0.43,1.17,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
MIRTAZAPINE,306,dxo,ICD9,30928,-0.22,0.67,1.09,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
PAROXETINE,198,dxo,ICD9,30928,-0.16,0.45,1.19,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
SERTRALINE,206,dxo,ICD9,30928,-0.19,0.4,1.19,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
VENLAFAXINE,199,dxo,ICD9,30928,-0.16,0.45,1.15,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
Less common antidepressants or combination of antidepressants,225,dxo,ICD9,30928,-0.16,0.53,1.11,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ADJUSTMENT DISORDERS,Adjustment Disorder With Mixed Anxiety And Depressed Mood,Adjustment Disorder With Mixed Anxiety And Depressed Mood
Less common antidepressants or combination of antidepressants,668,dxo,ICD9,V5481,0.06,1.49,1.08,AFTERCARE FOLLOWING JOINT REPLACEMENT,OTHER AFTERCARE,Aftercare Following Joint Replacement,Joint Replacement
AMITRIPTYLINE,1,aa,dem,ager_1319,-0.71,0.39,1.09,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
CITALOPRAM,1,aa,dem,ager_1319,-0.53,0.4,1.25,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
DESVENLAFAXINE,1,aa,dem,ager_1319,-0.32,0.42,1.11,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
DOXEPIN,1,aa,dem,ager_1319,-0.36,0.48,1.05,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
DULOXETINE,1,aa,dem,ager_1319,-0.4,0.41,1.1,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
ESCITALOPRAM,1,aa,dem,ager_1319,-0.19,0.62,1.22,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
FLUOXETINE,1,aa,dem,ager_1319,-0.54,0.42,1.8,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
MIRTAZAPINE,1,aa,dem,ager_1319,-0.38,0.55,1.25,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
NORTRIPTYLINE,1,aa,dem,ager_1319,-0.54,0.46,1.04,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
PAROXETINE,1,aa,dem,ager_1319,-0.47,0.42,1.18,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
SERTRALINE,1,aa,dem,ager_1319,-0.48,0.42,1.8,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
VENLAFAXINE,1,aa,dem,ager_1319,-0.4,0.43,1.16,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
Less common antidepressants or combination of antidepressants,1,aa,dem,ager_1319,-0.46,0.4,1.25,Age: 13-19,Demographics,Age: 13-19,Age between 13 and 19 years
AMITRIPTYLINE,2,aa,dem,ager_2040,-0.4,0.67,1.2,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
BUPROPION,2,aa,dem,ager_2040,-0.1,0.91,1.04,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
CITALOPRAM,2,aa,dem,ager_2040,-0.17,0.79,1.56,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
DESVENLAFAXINE,2,aa,dem,ager_2040,-0.13,0.85,1.13,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
DOXEPIN,2,aa,dem,ager_2040,-0.25,0.63,1.15,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
DULOXETINE,2,aa,dem,ager_2040,-0.1,0.79,1.27,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
ESCITALOPRAM,2,aa,dem,ager_2040,-0.08,0.86,1.3,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
FLUOXETINE,2,aa,dem,ager_2040,-0.18,0.81,1.44,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
MIRTAZAPINE,2,aa,dem,ager_2040,-0.17,0.85,1.26,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
NORTRIPTYLINE,2,aa,dem,ager_2040,-0.2,0.76,1.07,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
PAROXETINE,2,aa,dem,ager_2040,-0.13,0.77,1.36,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
ROPINIROLE,1,aa,dem,ager_2040,-0.3,0.58,1.05,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
SERTRALINE,2,aa,dem,ager_2040,-0.16,0.83,1.72,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
VENLAFAXINE,2,aa,dem,ager_2040,-0.06,0.85,1.28,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
Less common antidepressants or combination of antidepressants,2,aa,dem,ager_2040,-0.21,0.67,1.43,Age: 20-40,Demographics,Age: 20-40,Age between 20 to 40 years
DOXEPIN,3,aa,dem,ager_6579,0.22,1.48,1.12,Age: 65-79,Demographics,Age: 65-79,Age between 65 to 79 years
DULOXETINE,3,aa,dem,ager_6579,-0.13,1.12,1.26,Age: 65-79,Demographics,Age: 65-79,Age between 65 to 79 years
ESCITALOPRAM,3,aa,dem,ager_6579,-0.13,1.12,1.32,Age: 65-79,Demographics,Age: 65-79,Age between 65 to 79 years
FLUOXETINE,3,aa,dem,ager_6579,0.1,1.67,1.34,Age: 65-79,Demographics,Age: 65-79,Age between 65 to 79 years
PAROXETINE,3,aa,dem,ager_6579,0.04,1.43,1.32,Age: 65-79,Demographics,Age: 65-79,Age between 65 to 79 years
SERTRALINE,3,aa,dem,ager_6579,0.03,1.44,1.45,Age: 65-79,Demographics,Age: 65-79,Age between 65 to 79 years
Less common antidepressants or combination of antidepressants,3,aa,dem,ager_6579,0.14,1.49,1.43,Age: 65-79,Demographics,Age: 65-79,Age between 65 to 79 years
AMITRIPTYLINE,4,aa,dem,ager_8089,-0.4,0.72,1.04,Age: 80-89,Demographics,Age: 80-89,Age between 80 to 89 years
CITALOPRAM,4,aa,dem,ager_8089,-0.35,0.87,1.21,Age: 80-89,Demographics,Age: 80-89,Age between 80 to 89 years
DULOXETINE,4,aa,dem,ager_8089,-0.5,0.76,1.17,Age: 80-89,Demographics,Age: 80-89,Age between 80 to 89 years
ESCITALOPRAM,4,aa,dem,ager_8089,-0.43,0.78,1.27,Age: 80-89,Demographics,Age: 80-89,Age between 80 to 89 years
FLUOXETINE,4,aa,dem,ager_8089,-0.24,1.15,1.16,Age: 80-89,Demographics,Age: 80-89,Age between 80 to 89 years
MIRTAZAPINE,4,aa,dem,ager_8089,-0.33,0.75,1.25,Age: 80-89,Demographics,Age: 80-89,Age between 80 to 89 years
NORTRIPTYLINE,4,aa,dem,ager_8089,-0.57,0.67,1.02,Age: 80-89,Demographics,Age: 80-89,Age between 80 to 89 years
PAROXETINE,4,aa,dem,ager_8089,-0.18,1.14,1.18,Age: 80-89,Demographics,Age: 80-89,Age between 80 to 89 years
SERTRALINE,4,aa,dem,ager_8089,-0.24,1.02,1.34,Age: 80-89,Demographics,Age: 80-89,Age between 80 to 89 years
VENLAFAXINE,4,aa,dem,ager_8089,-0.24,1.04,1.06,Age: 80-89,Demographics,Age: 80-89,Age between 80 to 89 years
Less common antidepressants or combination of antidepressants,4,aa,dem,ager_8089,0.05,1.27,1.43,Age: 80-89,Demographics,Age: 80-89,Age between 80 to 89 years
PAROXETINE,184,dxo,ICD9,30021,-0.13,0.46,1.03,AGORAPHOBIA WITH PANIC DISORDER,ANXIETY DISORDERS,Agoraphobia With Panic Disorder,Agoraphobia With Panic Disorder
Less common antidepressants or combination of antidepressants,212,dxo,ICD9,30021,-0.06,0.59,1.03,AGORAPHOBIA WITH PANIC DISORDER,ANXIETY DISORDERS,Agoraphobia With Panic Disorder,Agoraphobia With Panic Disorder
ESCITALOPRAM,736,rx,GEN,G00293,0.06,1.18,1.04,ALBUTEROL SULFATE,BRONCHIAL DILATORS,Albuterol Sulfate,Albuterol Sulfate
VENLAFAXINE,733,rx,GEN,G00293,-0.06,0.94,1.1,ALBUTEROL SULFATE,BRONCHIAL DILATORS,Albuterol Sulfate,Albuterol Sulfate
Less common antidepressants or combination of antidepressants,746,rx,GEN,G00293,0.04,1.12,1.18,ALBUTEROL SULFATE,BRONCHIAL DILATORS,Albuterol Sulfate,Albuterol Sulfate
CITALOPRAM,632,dxo,ICD9,9953,-0.08,0.85,1.01,"ALLERGY, UNSPECIFIED NOT ELSEWHERE CLASSIFIED",ALLERGIC REACTIONS,"Allergy, Unspecified Not Elsewhere Classified",Allergy
CITALOPRAM,755,rx,GEN,G00383,0.06,1.28,1.03,ALLOPURINOL,ANTIARTHRITICS,Allopurinol,Allopurinol
FLUOXETINE,731,rx,GEN,G00383,0.12,1.63,1.03,ALLOPURINOL,ANTIARTHRITICS,Allopurinol,Allopurinol
SERTRALINE,752,rx,GEN,G00383,0.09,1.37,1.03,ALLOPURINOL,ANTIARTHRITICS,Allopurinol,Allopurinol
Less common antidepressants or combination of antidepressants,748,rx,GEN,G00383,0.03,1.37,1.03,ALLOPURINOL,ANTIARTHRITICS,Allopurinol,Allopurinol
CITALOPRAM,756,rx,GEN,G00444,-0.07,0.89,1.09,ALPRAZOLAM,ATARACTICS-TRANQUILIZERS,Alprazolam,Alprazolam
DULOXETINE,757,rx,GEN,G00444,-0.05,0.91,1.08,ALPRAZOLAM,ATARACTICS-TRANQUILIZERS,Alprazolam,Alprazolam
ESCITALOPRAM,739,rx,GEN,G00444,0.03,1.07,1.05,ALPRAZOLAM,ATARACTICS-TRANQUILIZERS,Alprazolam,Alprazolam
FLUOXETINE,732,rx,GEN,G00444,-0.06,0.91,1.11,ALPRAZOLAM,ATARACTICS-TRANQUILIZERS,Alprazolam,Alprazolam
NORTRIPTYLINE,752,rx,GEN,G00444,0.13,1.22,1.03,ALPRAZOLAM,ATARACTICS-TRANQUILIZERS,Alprazolam,Alprazolam
PAROXETINE,730,rx,GEN,G00444,-0.04,0.89,1.06,ALPRAZOLAM,ATARACTICS-TRANQUILIZERS,Alprazolam,Alprazolam
SERTRALINE,753,rx,GEN,G00444,-0.08,0.88,1.1,ALPRAZOLAM,ATARACTICS-TRANQUILIZERS,Alprazolam,Alprazolam
VENLAFAXINE,736,rx,GEN,G00444,-0.07,0.86,1.06,ALPRAZOLAM,ATARACTICS-TRANQUILIZERS,Alprazolam,Alprazolam
Less common antidepressants or combination of antidepressants,749,rx,GEN,G00444,-0.05,0.88,1.09,ALPRAZOLAM,ATARACTICS-TRANQUILIZERS,Alprazolam,Alprazolam
Less common antidepressants or combination of antidepressants,541,dxo,ICD9,78097,-0.04,0.95,1.19,ALTERED MENTAL STATUS,RESIDUAL CODES; UNCLASSIFIED,Altered Mental Status,Altered Mental Status
Less common antidepressants or combination of antidepressants,232,dxo,ICD9,3310,-0.1,1.01,1.26,ALZHEIMER'S DISEASE,DELIRIUM DEMENTIA AND AMNESTIC,Alzheimer'S Disease,Alzheimer'S Disease
AMITRIPTYLINE,747,rx,GEN,G00623,1.11,1.62,1.45,AMITRIPTYLINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Amitriptyline Hcl,Amitriptyline 
CITALOPRAM,757,rx,GEN,G00623,-0.08,0.94,1.1,AMITRIPTYLINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Amitriptyline Hcl,Amitriptyline 
DESVENLAFAXINE,734,rx,GEN,G00623,-0.2,0.83,1.04,AMITRIPTYLINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Amitriptyline Hcl,Amitriptyline 
DOXEPIN,735,rx,GEN,G00623,0.21,1.07,1.06,AMITRIPTYLINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Amitriptyline Hcl,Amitriptyline 
ESCITALOPRAM,740,rx,GEN,G00623,0.12,1.27,1.09,AMITRIPTYLINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Amitriptyline Hcl,Amitriptyline 
MIRTAZAPINE,803,rx,GEN,G00623,0.19,1.18,1.04,AMITRIPTYLINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Amitriptyline Hcl,Amitriptyline 
NORTRIPTYLINE,753,rx,GEN,G00623,0.37,1.08,1.1,AMITRIPTYLINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Amitriptyline Hcl,Amitriptyline 
SERTRALINE,754,rx,GEN,G00623,-0.06,0.99,1.09,AMITRIPTYLINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Amitriptyline Hcl,Amitriptyline 
Less common antidepressants or combination of antidepressants,750,rx,GEN,G00623,0.18,1.1,1.12,AMITRIPTYLINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Amitriptyline Hcl,Amitriptyline 
AMITRIPTYLINE,748,rx,GEN,G00632,-0.17,1.08,1.04,AMLODIPINE BESYLATE,OTHER CARDIOVASCULAR PREPS,Amlodipine Besylate,Amlodipine Besylate
CITALOPRAM,758,rx,GEN,G00632,-0.04,1.14,1.11,AMLODIPINE BESYLATE,OTHER CARDIOVASCULAR PREPS,Amlodipine Besylate,Amlodipine Besylate
DULOXETINE,759,rx,GEN,G00632,-0.06,1.05,1.09,AMLODIPINE BESYLATE,OTHER CARDIOVASCULAR PREPS,Amlodipine Besylate,Amlodipine Besylate
ESCITALOPRAM,741,rx,GEN,G00632,-0.07,1.07,1.1,AMLODIPINE BESYLATE,OTHER CARDIOVASCULAR PREPS,Amlodipine Besylate,Amlodipine Besylate
SERTRALINE,755,rx,GEN,G00632,-0.03,1.22,1.14,AMLODIPINE BESYLATE,OTHER CARDIOVASCULAR PREPS,Amlodipine Besylate,Amlodipine Besylate
DULOXETINE,760,rx,GEN,G00633,0.12,1.32,1.01,AMLODIPINE BESYLATE/BENAZEPRIL,OTHER ANTIHYPERTENSIVES,Amlodipine Besylate/Benazepril,Amlodipine Besylate/Benazepril
